,Converted,Converted_prob,Prospect ID,Predicted,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,final_Predicted,Lead_Score
78,0,0.3878252367713317,455,0,1,1,1,1,0,0,0,0,0,0,1,39
79,0,0.09660584438900392,5074,0,1,0,0,0,0,0,0,0,0,0,0,10
80,0,0.009991424351800275,6949,0,1,0,0,0,0,0,0,0,0,0,0,1
81,0,0.046443966671727656,7038,0,1,0,0,0,0,0,0,0,0,0,0,5
82,0,0.0017199817328845664,3880,0,1,0,0,0,0,0,0,0,0,0,0,0
83,0,0.09660584438900392,6220,0,1,0,0,0,0,0,0,0,0,0,0,10
84,0,0.3878252367713317,1412,0,1,1,1,1,0,0,0,0,0,0,1,39
85,0,0.999110345468872,6413,1,1,1,1,1,1,1,1,1,1,1,1,100
86,0,0.12593325825335625,8203,0,1,1,0,0,0,0,0,0,0,0,0,13
87,0,0.795487445021953,8804,1,1,1,1,1,1,1,1,1,0,0,1,80
88,1,0.999303823031643,4776,1,1,1,1,1,1,1,1,1,1,1,1,100
89,1,0.8703439999982505,4686,1,1,1,1,1,1,1,1,1,1,0,1,87
90,1,0.3878252367713317,8338,0,1,1,1,1,0,0,0,0,0,0,1,39
91,0,0.04340823617284343,7077,0,1,0,0,0,0,0,0,0,0,0,0,4
92,0,0.0028083995458596306,6566,0,1,0,0,0,0,0,0,0,0,0,0,0
93,0,0.09759856451244371,300,0,1,0,0,0,0,0,0,0,0,0,0,10
94,0,0.09660584438900392,7843,0,1,0,0,0,0,0,0,0,0,0,0,10
95,0,0.009991424351800275,8132,0,1,0,0,0,0,0,0,0,0,0,0,1
96,0,0.0028083995458596306,8542,0,1,0,0,0,0,0,0,0,0,0,0,0
97,0,0.09759856451244371,8652,0,1,0,0,0,0,0,0,0,0,0,0,10
98,0,0.0017199817328845664,6998,0,1,0,0,0,0,0,0,0,0,0,0,0
99,1,0.999064553342821,3146,1,1,1,1,1,1,1,1,1,1,1,1,100
100,0,0.009991424351800275,1904,0,1,0,0,0,0,0,0,0,0,0,0,1
101,1,0.3878252367713317,1510,0,1,1,1,1,0,0,0,0,0,0,1,39
102,1,0.9930288551115778,2837,1,1,1,1,1,1,1,1,1,1,1,1,99
103,0,0.15022917882512118,5041,0,1,1,0,0,0,0,0,0,0,0,0,15
104,0,0.009991424351800275,3109,0,1,0,0,0,0,0,0,0,0,0,0,1
105,1,0.6042157425559178,6294,1,1,1,1,1,1,1,1,0,0,0,1,60
106,0,0.3878252367713317,294,0,1,1,1,1,0,0,0,0,0,0,1,39
107,1,0.8703439999982505,4165,1,1,1,1,1,1,1,1,1,1,0,1,87
108,0,0.009991424351800275,1011,0,1,0,0,0,0,0,0,0,0,0,0,1
109,0,0.024006334408554035,6588,0,1,0,0,0,0,0,0,0,0,0,0,2
110,0,0.3878252367713317,3363,0,1,1,1,1,0,0,0,0,0,0,1,39
111,1,0.9926723334768831,5815,1,1,1,1,1,1,1,1,1,1,1,1,99
112,0,0.3878252367713317,7465,0,1,1,1,1,0,0,0,0,0,0,1,39
113,0,0.009991424351800275,7233,0,1,0,0,0,0,0,0,0,0,0,0,1
114,0,0.09759856451244371,7341,0,1,0,0,0,0,0,0,0,0,0,0,10
115,0,0.009991424351800275,5758,0,1,0,0,0,0,0,0,0,0,0,0,1
116,0,0.009991424351800275,42,0,1,0,0,0,0,0,0,0,0,0,0,1
117,1,0.3878252367713317,238,0,1,1,1,1,0,0,0,0,0,0,1,39
118,0,0.15022917882512118,7309,0,1,1,0,0,0,0,0,0,0,0,0,15
119,0,0.3878252367713317,7400,0,1,1,1,1,0,0,0,0,0,0,1,39
120,1,0.3878252367713317,2268,0,1,1,1,1,0,0,0,0,0,0,1,39
121,0,0.009991424351800275,9117,0,1,0,0,0,0,0,0,0,0,0,0,1
122,0,0.09660584438900392,8169,0,1,0,0,0,0,0,0,0,0,0,0,10
123,0,0.09660584438900392,6521,0,1,0,0,0,0,0,0,0,0,0,0,10
124,1,0.8703439999982505,6373,1,1,1,1,1,1,1,1,1,1,0,1,87
125,1,0.3878252367713317,7960,0,1,1,1,1,0,0,0,0,0,0,1,39
126,0,0.12593325825335625,2190,0,1,1,0,0,0,0,0,0,0,0,0,13
127,1,0.3878252367713317,813,0,1,1,1,1,0,0,0,0,0,0,1,39
128,0,0.009991424351800275,9206,0,1,0,0,0,0,0,0,0,0,0,0,1
129,1,0.8703439999982505,6412,1,1,1,1,1,1,1,1,1,1,0,1,87
130,1,0.9930288551115778,3817,1,1,1,1,1,1,1,1,1,1,1,1,99
131,1,0.3878252367713317,358,0,1,1,1,1,0,0,0,0,0,0,1,39
132,0,0.009991424351800275,8000,0,1,0,0,0,0,0,0,0,0,0,0,1
133,1,0.7401591563195961,973,1,1,1,1,1,1,1,1,1,0,0,1,74
134,1,0.3878252367713317,5058,0,1,1,1,1,0,0,0,0,0,0,1,39
135,0,0.3878252367713317,5428,0,1,1,1,1,0,0,0,0,0,0,1,39
136,0,0.3878252367713317,8102,0,1,1,1,1,0,0,0,0,0,0,1,39
137,0,0.09759856451244371,1228,0,1,0,0,0,0,0,0,0,0,0,0,10
138,1,0.8703439999982505,7644,1,1,1,1,1,1,1,1,1,1,0,1,87
139,1,0.795487445021953,5275,1,1,1,1,1,1,1,1,1,0,0,1,80
140,0,0.3878252367713317,6786,0,1,1,1,1,0,0,0,0,0,0,1,39
141,0,0.3878252367713317,5831,0,1,1,1,1,0,0,0,0,0,0,1,39
142,0,0.009991424351800275,1197,0,1,0,0,0,0,0,0,0,0,0,0,1
143,1,0.3878252367713317,1374,0,1,1,1,1,0,0,0,0,0,0,1,39
144,1,0.9930288551115778,2110,1,1,1,1,1,1,1,1,1,1,1,1,99
145,0,0.02374246054782388,7656,0,1,0,0,0,0,0,0,0,0,0,0,2
146,1,0.9307658510296561,8293,1,1,1,1,1,1,1,1,1,1,1,1,93
147,0,0.09759856451244371,5098,0,1,0,0,0,0,0,0,0,0,0,0,10
148,0,0.09660584438900392,9121,0,1,0,0,0,0,0,0,0,0,0,0,10
149,0,0.09759856451244371,7524,0,1,0,0,0,0,0,0,0,0,0,0,10
150,0,0.009991424351800275,3821,0,1,0,0,0,0,0,0,0,0,0,0,1
151,0,0.009991424351800275,403,0,1,0,0,0,0,0,0,0,0,0,0,1
152,1,0.3878252367713317,4652,0,1,1,1,1,0,0,0,0,0,0,1,39
153,0,0.8703439999982505,4918,1,1,1,1,1,1,1,1,1,1,0,1,87
154,1,0.3878252367713317,6321,0,1,1,1,1,0,0,0,0,0,0,1,39
155,1,0.8703439999982505,3170,1,1,1,1,1,1,1,1,1,1,0,1,87
156,0,0.002289960495272786,1253,0,1,0,0,0,0,0,0,0,0,0,0,0
157,0,0.009991424351800275,2419,0,1,0,0,0,0,0,0,0,0,0,0,1
158,0,0.09660584438900392,6221,0,1,0,0,0,0,0,0,0,0,0,0,10
159,1,0.26852067693466924,2182,0,1,1,1,0,0,0,0,0,0,0,0,27
160,0,0.3878252367713317,4727,0,1,1,1,1,0,0,0,0,0,0,1,39
161,1,0.999064553342821,2130,1,1,1,1,1,1,1,1,1,1,1,1,100
162,1,0.3878252367713317,8270,0,1,1,1,1,0,0,0,0,0,0,1,39
163,1,0.3878252367713317,1553,0,1,1,1,1,0,0,0,0,0,0,1,39
164,0,0.09660584438900392,7861,0,1,0,0,0,0,0,0,0,0,0,0,10
165,1,0.3878252367713317,1184,0,1,1,1,1,0,0,0,0,0,0,1,39
166,1,0.6965197931850666,6743,1,1,1,1,1,1,1,1,0,0,0,1,70
167,0,0.12593325825335625,1673,0,1,1,0,0,0,0,0,0,0,0,0,13
168,1,0.999303823031643,8070,1,1,1,1,1,1,1,1,1,1,1,1,100
169,1,0.3878252367713317,3441,0,1,1,1,1,0,0,0,0,0,0,1,39
170,1,0.3878252367713317,3589,0,1,1,1,1,0,0,0,0,0,0,1,39
171,0,0.009991424351800275,1493,0,1,0,0,0,0,0,0,0,0,0,0,1
172,0,0.009991424351800275,326,0,1,0,0,0,0,0,0,0,0,0,0,1
173,0,0.009991424351800275,1136,0,1,0,0,0,0,0,0,0,0,0,0,1
174,0,0.09759856451244371,265,0,1,0,0,0,0,0,0,0,0,0,0,10
175,1,0.3878252367713317,3900,0,1,1,1,1,0,0,0,0,0,0,1,39
176,1,0.9863969344108656,2139,1,1,1,1,1,1,1,1,1,1,1,1,99
177,0,0.009991424351800275,7479,0,1,0,0,0,0,0,0,0,0,0,0,1
178,1,0.8703439999982505,3462,1,1,1,1,1,1,1,1,1,1,0,1,87
179,0,0.09759856451244371,8345,0,1,0,0,0,0,0,0,0,0,0,0,10
180,1,0.009991424351800275,8885,0,1,0,0,0,0,0,0,0,0,0,0,1
181,1,0.795487445021953,3149,1,1,1,1,1,1,1,1,1,0,0,1,80
182,1,0.8703439999982505,2827,1,1,1,1,1,1,1,1,1,1,0,1,87
183,1,0.8703439999982505,4663,1,1,1,1,1,1,1,1,1,1,0,1,87
184,0,0.3878252367713317,3214,0,1,1,1,1,0,0,0,0,0,0,1,39
185,0,0.009991424351800275,4718,0,1,0,0,0,0,0,0,0,0,0,0,1
186,0,0.024006334408554035,1187,0,1,0,0,0,0,0,0,0,0,0,0,2
187,0,0.3878252367713317,5072,0,1,1,1,1,0,0,0,0,0,0,1,39
188,1,0.3878252367713317,7595,0,1,1,1,1,0,0,0,0,0,0,1,39
189,1,0.8703439999982505,5061,1,1,1,1,1,1,1,1,1,1,0,1,87
190,1,0.09759856451244371,8389,0,1,0,0,0,0,0,0,0,0,0,0,10
191,1,0.9307658510296561,5525,1,1,1,1,1,1,1,1,1,1,1,1,93
192,0,0.009991424351800275,5118,0,1,0,0,0,0,0,0,0,0,0,0,1
193,0,0.009991424351800275,5624,0,1,0,0,0,0,0,0,0,0,0,0,1
194,0,0.3878252367713317,7679,0,1,1,1,1,0,0,0,0,0,0,1,39
195,1,0.3878252367713317,4822,0,1,1,1,1,0,0,0,0,0,0,1,39
196,1,0.9930288551115778,3881,1,1,1,1,1,1,1,1,1,1,1,1,99
197,1,0.8645687866399578,2342,1,1,1,1,1,1,1,1,1,1,0,1,86
198,0,0.009991424351800275,1750,0,1,0,0,0,0,0,0,0,0,0,0,1
199,1,0.09660584438900392,1089,0,1,0,0,0,0,0,0,0,0,0,0,10
200,0,0.009991424351800275,247,0,1,0,0,0,0,0,0,0,0,0,0,1
201,1,0.9930288551115778,1450,1,1,1,1,1,1,1,1,1,1,1,1,99
202,0,0.3878252367713317,1952,0,1,1,1,1,0,0,0,0,0,0,1,39
203,0,0.12593325825335625,2908,0,1,1,0,0,0,0,0,0,0,0,0,13
204,1,0.8645687866399578,1746,1,1,1,1,1,1,1,1,1,1,0,1,86
205,0,0.3878252367713317,1893,0,1,1,1,1,0,0,0,0,0,0,1,39
206,1,0.999064553342821,4123,1,1,1,1,1,1,1,1,1,1,1,1,100
207,0,0.3878252367713317,7762,0,1,1,1,1,0,0,0,0,0,0,1,39
208,0,0.0017199817328845664,1301,0,1,0,0,0,0,0,0,0,0,0,0,0
209,1,0.3878252367713317,9138,0,1,1,1,1,0,0,0,0,0,0,1,39
210,0,0.3878252367713317,6952,0,1,1,1,1,0,0,0,0,0,0,1,39
211,0,0.8703439999982505,7173,1,1,1,1,1,1,1,1,1,1,0,1,87
212,0,0.8703439999982505,7532,1,1,1,1,1,1,1,1,1,1,0,1,87
213,0,0.09660584438900392,6603,0,1,0,0,0,0,0,0,0,0,0,0,10
214,1,0.999303823031643,5804,1,1,1,1,1,1,1,1,1,1,1,1,100
215,0,0.3878252367713317,5486,0,1,1,1,1,0,0,0,0,0,0,1,39
216,1,0.9863969344108656,6839,1,1,1,1,1,1,1,1,1,1,1,1,99
217,1,0.8703439999982505,5931,1,1,1,1,1,1,1,1,1,1,0,1,87
218,0,0.09759856451244371,852,0,1,0,0,0,0,0,0,0,0,0,0,10
219,0,0.15022917882512118,4190,0,1,1,0,0,0,0,0,0,0,0,0,15
220,0,0.009991424351800275,4958,0,1,0,0,0,0,0,0,0,0,0,0,1
221,0,0.09759856451244371,1147,0,1,0,0,0,0,0,0,0,0,0,0,10
222,0,0.009991424351800275,933,0,1,0,0,0,0,0,0,0,0,0,0,1
223,1,0.8703439999982505,1403,1,1,1,1,1,1,1,1,1,1,0,1,87
224,1,0.3878252367713317,104,0,1,1,1,1,0,0,0,0,0,0,1,39
225,0,0.009991424351800275,5375,0,1,0,0,0,0,0,0,0,0,0,0,1
226,0,0.09759856451244371,5341,0,1,0,0,0,0,0,0,0,0,0,0,10
227,1,0.9930288551115778,3285,1,1,1,1,1,1,1,1,1,1,1,1,99
228,1,0.3878252367713317,647,0,1,1,1,1,0,0,0,0,0,0,1,39
229,0,0.009991424351800275,1626,0,1,0,0,0,0,0,0,0,0,0,0,1
230,1,0.3878252367713317,2100,0,1,1,1,1,0,0,0,0,0,0,1,39
231,0,0.009991424351800275,9224,0,1,0,0,0,0,0,0,0,0,0,0,1
232,0,0.009991424351800275,181,0,1,0,0,0,0,0,0,0,0,0,0,1
233,0,0.09230949573981241,2065,0,1,0,0,0,0,0,0,0,0,0,0,9
234,1,0.3878252367713317,4347,0,1,1,1,1,0,0,0,0,0,0,1,39
235,1,0.3878252367713317,6702,0,1,1,1,1,0,0,0,0,0,0,1,39
236,1,0.9854317266549288,3463,1,1,1,1,1,1,1,1,1,1,1,1,99
237,1,0.999064553342821,6556,1,1,1,1,1,1,1,1,1,1,1,1,100
238,1,0.999303823031643,5695,1,1,1,1,1,1,1,1,1,1,1,1,100
239,0,0.009991424351800275,536,0,1,0,0,0,0,0,0,0,0,0,0,1
240,1,0.9854317266549288,3543,1,1,1,1,1,1,1,1,1,1,1,1,99
241,0,0.09759856451244371,849,0,1,0,0,0,0,0,0,0,0,0,0,10
242,1,0.7401591563195961,1745,1,1,1,1,1,1,1,1,1,0,0,1,74
243,0,0.009991424351800275,4638,0,1,0,0,0,0,0,0,0,0,0,0,1
244,0,0.8703439999982505,8029,1,1,1,1,1,1,1,1,1,1,0,1,87
245,1,0.8703439999982505,6997,1,1,1,1,1,1,1,1,1,1,0,1,87
246,0,0.09660584438900392,5679,0,1,0,0,0,0,0,0,0,0,0,0,10
247,1,0.8703439999982505,8711,1,1,1,1,1,1,1,1,1,1,0,1,87
248,0,0.09660584438900392,5660,0,1,0,0,0,0,0,0,0,0,0,0,10
249,0,0.26852067693466924,5308,0,1,1,1,0,0,0,0,0,0,0,0,27
250,0,0.3878252367713317,6400,0,1,1,1,1,0,0,0,0,0,0,1,39
251,0,0.3878252367713317,656,0,1,1,1,1,0,0,0,0,0,0,1,39
252,0,0.3878252367713317,4544,0,1,1,1,1,0,0,0,0,0,0,1,39
253,0,0.12593325825335625,7770,0,1,1,0,0,0,0,0,0,0,0,0,13
254,0,0.009991424351800275,8826,0,1,0,0,0,0,0,0,0,0,0,0,1
255,0,0.009991424351800275,1338,0,1,0,0,0,0,0,0,0,0,0,0,1
256,1,0.999303823031643,5792,1,1,1,1,1,1,1,1,1,1,1,1,100
257,0,0.3878252367713317,1427,0,1,1,1,1,0,0,0,0,0,0,1,39
258,1,0.3878252367713317,944,0,1,1,1,1,0,0,0,0,0,0,1,39
259,0,0.04340823617284343,9092,0,1,0,0,0,0,0,0,0,0,0,0,4
260,0,0.8703439999982505,4824,1,1,1,1,1,1,1,1,1,1,0,1,87
261,1,0.999791801309378,3555,1,1,1,1,1,1,1,1,1,1,1,1,100
262,0,0.009991424351800275,2064,0,1,0,0,0,0,0,0,0,0,0,0,1
263,0,0.009991424351800275,1579,0,1,0,0,0,0,0,0,0,0,0,0,1
264,1,0.3878252367713317,3236,0,1,1,1,1,0,0,0,0,0,0,1,39
265,0,0.009991424351800275,4001,0,1,0,0,0,0,0,0,0,0,0,0,1
266,0,0.12593325825335625,724,0,1,1,0,0,0,0,0,0,0,0,0,13
267,0,0.009991424351800275,8905,0,1,0,0,0,0,0,0,0,0,0,0,1
268,0,0.02374246054782388,8363,0,1,0,0,0,0,0,0,0,0,0,0,2
269,1,0.3878252367713317,4564,0,1,1,1,1,0,0,0,0,0,0,1,39
270,0,0.009991424351800275,7865,0,1,0,0,0,0,0,0,0,0,0,0,1
271,0,0.009991424351800275,930,0,1,0,0,0,0,0,0,0,0,0,0,1
272,1,0.3878252367713317,6493,0,1,1,1,1,0,0,0,0,0,0,1,39
273,0,0.0028083995458596306,8924,0,1,0,0,0,0,0,0,0,0,0,0,0
274,1,0.12593325825335625,2601,0,1,1,0,0,0,0,0,0,0,0,0,13
275,0,0.3878252367713317,7180,0,1,1,1,1,0,0,0,0,0,0,1,39
276,0,0.3878252367713317,3141,0,1,1,1,1,0,0,0,0,0,0,1,39
277,0,0.3878252367713317,1006,0,1,1,1,1,0,0,0,0,0,0,1,39
278,0,0.09660584438900392,8741,0,1,0,0,0,0,0,0,0,0,0,0,10
279,0,0.009991424351800275,6337,0,1,0,0,0,0,0,0,0,0,0,0,1
280,1,0.9986333069479733,475,1,1,1,1,1,1,1,1,1,1,1,1,100
281,1,0.26852067693466924,2096,0,1,1,1,0,0,0,0,0,0,0,0,27
282,1,0.8703439999982505,7953,1,1,1,1,1,1,1,1,1,1,0,1,87
283,1,0.8703439999982505,3437,1,1,1,1,1,1,1,1,1,1,0,1,87
284,1,0.3878252367713317,6899,0,1,1,1,1,0,0,0,0,0,0,1,39
285,1,0.999064553342821,949,1,1,1,1,1,1,1,1,1,1,1,1,100
286,1,0.999303823031643,5790,1,1,1,1,1,1,1,1,1,1,1,1,100
287,0,0.002289960495272786,7787,0,1,0,0,0,0,0,0,0,0,0,0,0
288,1,0.8703439999982505,4827,1,1,1,1,1,1,1,1,1,1,0,1,87
289,0,0.0017199817328845664,4864,0,1,0,0,0,0,0,0,0,0,0,0,0
290,1,0.9863969344108656,8989,1,1,1,1,1,1,1,1,1,1,1,1,99
291,1,0.999064553342821,5423,1,1,1,1,1,1,1,1,1,1,1,1,100
292,1,0.3878252367713317,1469,0,1,1,1,1,0,0,0,0,0,0,1,39
293,1,0.24185085932638517,2851,0,1,1,1,0,0,0,0,0,0,0,0,24
294,0,0.009991424351800275,532,0,1,0,0,0,0,0,0,0,0,0,0,1
295,0,0.002289960495272786,6948,0,1,0,0,0,0,0,0,0,0,0,0,0
296,0,0.3878252367713317,842,0,1,1,1,1,0,0,0,0,0,0,1,39
297,0,0.09660584438900392,8504,0,1,0,0,0,0,0,0,0,0,0,0,10
298,0,0.12593325825335625,7580,0,1,1,0,0,0,0,0,0,0,0,0,13
299,1,0.3878252367713317,6325,0,1,1,1,1,0,0,0,0,0,0,1,39
300,1,0.26852067693466924,4965,0,1,1,1,0,0,0,0,0,0,0,0,27
301,1,0.9993505533259581,3770,1,1,1,1,1,1,1,1,1,1,1,1,100
302,0,0.009991424351800275,4659,0,1,0,0,0,0,0,0,0,0,0,0,1
303,0,0.002289960495272786,1607,0,1,0,0,0,0,0,0,0,0,0,0,0
304,1,0.8645687866399578,2010,1,1,1,1,1,1,1,1,1,1,0,1,86
305,0,0.3878252367713317,7044,0,1,1,1,1,0,0,0,0,0,0,1,39
306,1,0.3878252367713317,2464,0,1,1,1,1,0,0,0,0,0,0,1,39
307,0,0.3878252367713317,7822,0,1,1,1,1,0,0,0,0,0,0,1,39
308,0,0.3878252367713317,3709,0,1,1,1,1,0,0,0,0,0,0,1,39
309,1,0.8703439999982505,3576,1,1,1,1,1,1,1,1,1,1,0,1,87
310,1,0.9926723334768831,2933,1,1,1,1,1,1,1,1,1,1,1,1,99
311,0,0.09759856451244371,1727,0,1,0,0,0,0,0,0,0,0,0,0,10
312,1,0.9930288551115778,1408,1,1,1,1,1,1,1,1,1,1,1,1,99
313,1,0.09660584438900392,4599,0,1,0,0,0,0,0,0,0,0,0,0,10
314,1,0.7401591563195961,572,1,1,1,1,1,1,1,1,1,0,0,1,74
315,0,0.009991424351800275,1428,0,1,0,0,0,0,0,0,0,0,0,0,1
316,1,0.09660584438900392,6813,0,1,0,0,0,0,0,0,0,0,0,0,10
317,0,0.0017199817328845664,3744,0,1,0,0,0,0,0,0,0,0,0,0,0
318,1,0.9906531080626818,1151,1,1,1,1,1,1,1,1,1,1,1,1,99
319,0,0.0028083995458596306,7778,0,1,0,0,0,0,0,0,0,0,0,0,0
320,0,0.009991424351800275,6209,0,1,0,0,0,0,0,0,0,0,0,0,1
321,0,0.0017199817328845664,9183,0,1,0,0,0,0,0,0,0,0,0,0,0
322,0,0.3878252367713317,1821,0,1,1,1,1,0,0,0,0,0,0,1,39
323,0,0.0017199817328845664,1863,0,1,0,0,0,0,0,0,0,0,0,0,0
324,1,0.8703439999982505,6768,1,1,1,1,1,1,1,1,1,1,0,1,87
325,1,0.9854317266549288,3355,1,1,1,1,1,1,1,1,1,1,1,1,99
326,1,0.3878252367713317,301,0,1,1,1,1,0,0,0,0,0,0,1,39
327,0,0.09660584438900392,5626,0,1,0,0,0,0,0,0,0,0,0,0,10
328,0,0.009991424351800275,2887,0,1,0,0,0,0,0,0,0,0,0,0,1
329,1,0.3878252367713317,405,0,1,1,1,1,0,0,0,0,0,0,1,39
